surface,fg,surface_oklch,fg_oklch,ratio,verdict,aaa,aa
sumi-650,sumi-450,"oklch(0.270 0.012 220)","oklch(0.665 0.012 220)",4.94,AA,no,yes
sumi-650,sumi-500,"oklch(0.270 0.012 220)","oklch(0.620 0 0)",4.12,AA-large,no,no
sumi-650,sumi-600,"oklch(0.270 0.012 220)","oklch(0.470 0 0)",2.20,FAIL,no,no
sumi-650,sumi-700,"oklch(0.270 0.012 220)","oklch(0.380 0 0)",1.50,FAIL,no,no
sumi-650,cream-300,"oklch(0.270 0.012 220)","oklch(0.620 0.020 85)",4.12,AA-large,no,no
sumi-650,cream-50,"oklch(0.270 0.012 220)","oklch(0.985 0.013 85)",14.39,AAA,yes,yes
sumi-650,indigo-500,"oklch(0.270 0.012 220)","oklch(0.430 0.150 250)",1.84,FAIL,no,no
sumi-650,indigo-300,"oklch(0.270 0.012 220)","oklch(0.760 0.110 250)",7.04,AAA,yes,yes
sumi-650,citrus-500,"oklch(0.270 0.012 220)","oklch(0.860 0.150 105)",9.95,AAA,yes,yes
sumi-650,persimmon-600,"oklch(0.270 0.012 220)","oklch(0.520 0.180 38)",2.50,FAIL,no,no
sumi-700,ink-primary-on-cream,"oklch(0.380 0 0)","oklch(0.205 0.020 85)",1.79,FAIL,no,no
sumi-700,ink-secondary-on-cream,"oklch(0.380 0 0)","oklch(0.380 0.018 85)",1.00,FAIL,no,no
sumi-700,ink-900,"oklch(0.380 0 0)","oklch(0.150 0.020 85)",1.97,FAIL,no,no
sumi-700,bone-50,"oklch(0.380 0 0)","oklch(0.965 0.005 220)",9.06,AAA,yes,yes
sumi-700,bone-100,"oklch(0.380 0 0)","oklch(0.920 0.005 220)",7.91,AAA,yes,yes
sumi-700,sumi-400,"oklch(0.380 0 0)","oklch(0.700 0.012 220)",3.76,AA-large,no,no
sumi-700,sumi-450,"oklch(0.380 0 0)","oklch(0.665 0.012 220)",3.29,AA-large,no,no
sumi-700,sumi-500,"oklch(0.380 0 0)","oklch(0.620 0 0)",2.75,FAIL,no,no
sumi-700,sumi-600,"oklch(0.380 0 0)","oklch(0.470 0 0)",1.47,FAIL,no,no
sumi-700,sumi-700,"oklch(0.380 0 0)","oklch(0.380 0 0)",1.00,FAIL,no,no
sumi-700,cream-300,"oklch(0.380 0 0)","oklch(0.620 0.020 85)",2.75,FAIL,no,no
sumi-700,cream-50,"oklch(0.380 0 0)","oklch(0.985 0.013 85)",9.59,AAA,yes,yes
sumi-700,indigo-500,"oklch(0.380 0 0)","oklch(0.430 0.150 250)",1.23,FAIL,no,no
sumi-700,indigo-300,"oklch(0.380 0 0)","oklch(0.760 0.110 250)",4.69,AA,no,yes
sumi-700,citrus-500,"oklch(0.380 0 0)","oklch(0.860 0.150 105)",6.63,AA,no,yes
sumi-700,persimmon-600,"oklch(0.380 0 0)","oklch(0.520 0.180 38)",1.67,FAIL,no,no
sumi-600,ink-primary-on-cream,"oklch(0.470 0 0)","oklch(0.205 0.020 85)",2.63,FAIL,no,no
sumi-600,ink-secondary-on-cream,"oklch(0.470 0 0)","oklch(0.380 0.018 85)",1.47,FAIL,no,no
sumi-600,ink-900,"oklch(0.470 0 0)","oklch(0.150 0.020 85)",2.88,FAIL,no,no
sumi-600,bone-50,"oklch(0.470 0 0)","oklch(0.965 0.005 220)",6.18,AA,no,yes
sumi-600,bone-100,"oklch(0.470 0 0)","oklch(0.920 0.005 220)",5.39,AA,no,yes
sumi-600,sumi-400,"oklch(0.470 0 0)","oklch(0.700 0.012 220)",2.57,FAIL,no,no
sumi-600,sumi-450,"oklch(0.470 0 0)","oklch(0.665 0.012 220)",2.25,FAIL,no,no
sumi-600,sumi-500,"oklch(0.470 0 0)","oklch(0.620 0 0)",1.87,FAIL,no,no
sumi-600,sumi-600,"oklch(0.470 0 0)","oklch(0.470 0 0)",1.00,FAIL,no,no
sumi-600,sumi-700,"oklch(0.470 0 0)","oklch(0.380 0 0)",1.47,FAIL,no,no
sumi-600,cream-300,"oklch(0.470 0 0)","oklch(0.620 0.020 85)",1.87,FAIL,no,no
sumi-600,cream-50,"oklch(0.470 0 0)","oklch(0.985 0.013 85)",6.54,AA,no,yes
sumi-600,indigo-500,"oklch(0.470 0 0)","oklch(0.430 0.150 250)",1.20,FAIL,no,no
sumi-600,indigo-300,"oklch(0.470 0 0)","oklch(0.760 0.110 250)",3.20,AA-large,no,no
sumi-600,citrus-500,"oklch(0.470 0 0)","oklch(0.860 0.150 105)",4.52,AA,no,yes
sumi-600,persimmon-600,"oklch(0.470 0 0)","oklch(0.520 0.180 38)",1.14,FAIL,no,no
persimmon-600,ink-primary-on-cream,"oklch(0.520 0.180 38)","oklch(0.205 0.020 85)",2.99,FAIL,no,no
persimmon-600,ink-secondary-on-cream,"oklch(0.520 0.180 38)","oklch(0.380 0.018 85)",1.67,FAIL,no,no
persimmon-600,ink-900,"oklch(0.520 0.180 38)","oklch(0.150 0.020 85)",3.28,AA-large,no,no
persimmon-600,bone-50,"oklch(0.520 0.180 38)","oklch(0.965 0.005 220)",5.43,AA,no,yes
persimmon-600,bone-100,"oklch(0.520 0.180 38)","oklch(0.920 0.005 220)",4.74,AA,no,yes
persimmon-600,sumi-400,"oklch(0.520 0.180 38)","oklch(0.700 0.012 220)",2.25,FAIL,no,no
persimmon-600,sumi-450,"oklch(0.520 0.180 38)","oklch(0.665 0.012 220)",1.97,FAIL,no,no
persimmon-600,sumi-500,"oklch(0.520 0.180 38)","oklch(0.620 0 0)",1.65,FAIL,no,no
persimmon-600,sumi-600,"oklch(0.520 0.180 38)","oklch(0.470 0 0)",1.14,FAIL,no,no
persimmon-600,sumi-700,"oklch(0.520 0.180 38)","oklch(0.380 0 0)",1.67,FAIL,no,no
persimmon-600,cream-300,"oklch(0.520 0.180 38)","oklch(0.620 0.020 85)",1.65,FAIL,no,no
persimmon-600,cream-50,"oklch(0.520 0.180 38)","oklch(0.985 0.013 85)",5.74,AA,no,yes
persimmon-600,indigo-500,"oklch(0.520 0.180 38)","oklch(0.430 0.150 250)",1.36,FAIL,no,no
persimmon-600,indigo-300,"oklch(0.520 0.180 38)","oklch(0.760 0.110 250)",2.81,FAIL,no,no
persimmon-600,citrus-500,"oklch(0.520 0.180 38)","oklch(0.860 0.150 105)",3.97,AA-large,no,no
persimmon-600,persimmon-600,"oklch(0.520 0.180 38)","oklch(0.520 0.180 38)",1.00,FAIL,no,no
persimmon-500,ink-primary-on-cream,"oklch(0.640 0.180 38)","oklch(0.205 0.020 85)",4.93,AA,no,yes
persimmon-500,ink-secondary-on-cream,"oklch(0.640 0.180 38)","oklch(0.380 0.018 85)",2.76,FAIL,no,no
persimmon-500,ink-900,"oklch(0.640 0.180 38)","oklch(0.150 0.020 85)",5.42,AA,no,yes
persimmon-500,bone-50,"oklch(0.640 0.180 38)","oklch(0.965 0.005 220)",3.29,AA-large,no,no
persimmon-500,bone-100,"oklch(0.640 0.180 38)","oklch(0.920 0.005 220)",2.87,FAIL,no,no
persimmon-500,sumi-400,"oklch(0.640 0.180 38)","oklch(0.700 0.012 220)",1.36,FAIL,no,no
persimmon-500,sumi-450,"oklch(0.640 0.180 38)","oklch(0.665 0.012 220)",1.19,FAIL,no,no
persimmon-500,sumi-500,"oklch(0.640 0.180 38)","oklch(0.620 0 0)",1.00,FAIL,no,no
persimmon-500,sumi-600,"oklch(0.640 0.180 38)","oklch(0.470 0 0)",1.88,FAIL,no,no
persimmon-500,sumi-700,"oklch(0.640 0.180 38)","oklch(0.380 0 0)",2.76,FAIL,no,no
persimmon-500,cream-300,"oklch(0.640 0.180 38)","oklch(0.620 0.020 85)",1.00,FAIL,no,no
persimmon-500,cream-50,"oklch(0.640 0.180 38)","oklch(0.985 0.013 85)",3.48,AA-large,no,no
persimmon-500,indigo-500,"oklch(0.640 0.180 38)","oklch(0.430 0.150 250)",2.25,FAIL,no,no
persimmon-500,indigo-300,"oklch(0.640 0.180 38)","oklch(0.760 0.110 250)",1.70,FAIL,no,no
persimmon-500,citrus-500,"oklch(0.640 0.180 38)","oklch(0.860 0.150 105)",2.40,FAIL,no,no
persimmon-500,persimmon-600,"oklch(0.640 0.180 38)","oklch(0.520 0.180 38)",1.65,FAIL,no,no
ink-900,ink-primary-on-cream,"oklch(0.150 0.020 85)","oklch(0.205 0.020 85)",1.10,FAIL,no,no
ink-900,ink-secondary-on-cream,"oklch(0.150 0.020 85)","oklch(0.380 0.018 85)",1.96,FAIL,no,no
ink-900,ink-900,"oklch(0.150 0.020 85)","oklch(0.150 0.020 85)",1.00,FAIL,no,no
ink-900,bone-50,"oklch(0.150 0.020 85)","oklch(0.965 0.005 220)",17.80,AAA,yes,yes
ink-900,bone-100,"oklch(0.150 0.020 85)","oklch(0.920 0.005 220)",15.55,AAA,yes,yes
ink-900,sumi-400,"oklch(0.150 0.020 85)","oklch(0.700 0.012 220)",7.39,AAA,yes,yes
ink-900,sumi-450,"oklch(0.150 0.020 85)","oklch(0.665 0.012 220)",6.47,AA,no,yes
ink-900,sumi-500,"oklch(0.150 0.020 85)","oklch(0.620 0 0)",5.40,AA,no,yes
ink-900,sumi-600,"oklch(0.150 0.020 85)","oklch(0.470 0 0)",2.88,FAIL,no,no
ink-900,sumi-700,"oklch(0.150 0.020 85)","oklch(0.380 0 0)",1.97,FAIL,no,no
ink-900,cream-300,"oklch(0.150 0.020 85)","oklch(0.620 0.020 85)",5.40,AA,no,yes
ink-900,cream-50,"oklch(0.150 0.020 85)","oklch(0.985 0.013 85)",18.85,AAA,yes,yes
ink-900,indigo-500,"oklch(0.150 0.020 85)","oklch(0.430 0.150 250)",2.41,FAIL,no,no
ink-900,indigo-300,"oklch(0.150 0.020 85)","oklch(0.760 0.110 250)",9.22,AAA,yes,yes
ink-900,citrus-500,"oklch(0.150 0.020 85)","oklch(0.860 0.150 105)",13.03,AAA,yes,yes
ink-900,persimmon-600,"oklch(0.150 0.020 85)","oklch(0.520 0.180 38)",3.28,AA-large,no,no
